Name,Categories,Years Active Start,Birthdate,Years Active End,Deathdate,City,Neighborhood,Coordinates
Method Man,rapper,,,,,Staten Island,Clifton,"40.6141896, -74.0806547"
B.G.,rapper,1993,9/3/1980,,,New Orleans,13th Ward,"29.936885, -90.10663"
Philthy Rich,rapper,2007,1/30/1983,,,Oakland,,"37.735113, -122.15674"
Ghandi,rapper,2001,8/1/1980,,,Evere,Germinal,"50.871221, 4.407127"
Tommy Cash,rapper,2015,,,,Tallinn,,"59.422738, 24.713158"
Di-Meh,producer / dj;rapper,2014,6/30/1995,,,Geneva,,"46.204014, 6.116622"
Dinos Punchlinovic,rapper,2012,,,,Seine-Saint-Denis,La Courneuve,"48.931401, 2.397335"
A2h,rapper,2010,,,,Melun,,"48.540599, 2.656085"
The Sugarhill Gang,group,,,,,Englewood,,"40.89204, -73.976025"
Public Enemy,group,,,,,Long Island,,"40.721565, -73.651272"
Niro,rapper,,,,,Blois,,"47.593889, 1.328056"
Booba,rapper,,,,,Boulogne-Billancourt,,"48.835198, 2.240947"
Damso,producer;rapper,,,,,Bruxelles,,"50.8353541, 4.3508639"
Turk,rapper,1996,2/8/1981,,,New Orleans,Magnolia Street,"29.938541, -90.09561"
RBL Posse,group,1991,,2003,,San Francisco,Hunters Point,"37.740255, -122.386128"
Raider Klan,group,2008,,,,Miami,Carol City,"25.947376, -80.270063"
Nacho Picasso,rapper,2010,10/30/1983,,,Seatle,,"47.564748, -122.327673"
San E,rapper,2010,1/23/1985,,,Incheon,,"37.450782, 126.694114"
Lil Shaolin,rapper,2014,,,,Besançon,Planoise,"47.222121, 5.96947"
The Doppelgangaz,group,2008,,,,Orange County,,"41.482909, -74.044964"
Dadoo,producer / dj;rapper,1994,,,,Toulouse,,"43.593104, 1.435427"
Djadja & Dinaz,group,2014,,,,Meaux,,"48.958451, 2.888862"
Ice-T,rapper,1982,2/16/1958,,,Los Angeles,Crenshaw,"33.996677, -118.329661"
Roll Deep,group,2002,,2013,,East London,Bow,"51.520816, -0.031006"
Masta Killa,rapper,,8/18/1969,,,Brooklyn,East New York,"40.663512, -73.884644"
Kris Kross,group,1991,,2001,,Atlanta,,"33.757016, -84.387607"
DMX,rapper,,6/18/1970,,,Yonkers,School Street Project,"40.929818, -73.894868"
The Roots,group,1987,,,,Philadelphia,,"39.939281, -75.166016"
Professor Griff,rapper,,,,,Long Island,Roosevelt,"40.66777, -73.571204"
Starflam,group,1996,,,,Liege,,"50.610088, 5.554746"
Russ,producer / dj;rapper,2007,9/26/1992,,,Roswell,,"34.04598, -84.354128"
D T F,group,2015,,,,Ivry Sur Seine,,"48.811446, 2.390445"
Metek,rapper,1996,,,,Paris,,"48.850113, 2.408641"
Joe Lucazz,rapper,,,,,Paris,,"48.877712, 2.333068"
DJ Screw,producer,1983,7/20/1971,2000,11/16/2000,Houston,,"29.6897814, -95.2925514"
Problem,rapper,2006,5/8/1985,,,Los Angeles,Compton,"33.876146, -118.225416"
Curren$y,rapper,2002,4/4/1981,,,New Orleans,,"30.0220037, -89.9853088"
Ja Rule,rapper;singer,1993,2/29/1976,,,Queens,Hollis,"40.7078275, -73.7548656"
Mozzy,rapper,2004,6/24/1987,,,Sacramento,Oak Park,"38.548291, -121.457188"
Sofiane,rapper,2007,7/21/1986,,,Blanc Ménil,,"48.924417, 2.47266"
J. Cole,rapper;singer,2009,1/28/1985,,,Fayetteville,,"35.04902, -78.945374"
Alpha 5.20,rapper,2001,,,,Épinay-sur-Seine,Orgemont,"48.955525, 2.295619"
Les Sages Poètes de la Rue,group,1987,,,,Boulogne-Billancourt,,"48.830859, 2.228994"
Miiiiz,rapper,,,,,Geneva,,"46.213102, 6.132243"
A$AP Rocky,rapper,2007,10/3/1988,,,New York,Harlem,"40.8047574, -73.9551409"
DJ Kool Herc,producer,,,,,New York,Bronx,"40.847078, -73.924342"
Nicki Minaj,rapper;singer,,,,,New York,Queens,"40.674942, -73.791237"
Lacrim,rapper,,,,,Chevilly-Larue,Cité Anatole France,"48.7650549, 2.3640913"
Inspectah Deck,producer;rapper,,7/6/1970,,,Staten Island,,"40.612005, -74.070152"
Kool Shen,rapper,,,,,Saint-Denis,,"48.9426404, 2.3702192"
E-40,rapper,,,,,Vallejo,,"38.1013977, -122.217963"
OJ Da Juiceman,rapper,2003,11/23/1981,,,Atlanta,Sun Valley Appartements,"33.715384, -84.327938"
NoClue,rapper,2004,1/28/1985,,,Seattle,,"47.563401, -122.38474"
Daddy Lord C,rapper,1991,,,,Nemours,Mont-Saint-Martin,"48.268683, 2.706585"
Passi,rapper,1992,12/21/1972,,,Sarcelle,,"48.978217, 2.37766"
Masta Ace,rapper,1988,12/4/1966,,,Brooklyn,Brownsville,"40.658914, -73.914589"
Ed O.G.,rapper,1987,11/27/1970,,,Boston,Roxbury,"42.316504, -71.091491"
Will Smith,rapper,1985,9/25/1968,,,Philadelphia,Wynnefield,"39.995682, -75.2456616"
Post Malone,rapper,2015,7/4/1995,,,Grapevine,,"32.933703, -97.08858"
Das EFX,group,1988,,,,New York,,"40.71831, -74.002303"
Freeze Corleone,rapper,2013,,,,Paris,Gentilly,"48.812902, 2.344257"
Soulja Slim,rapper,1993,9/9/1977,2003,11/26/2003,New Orleans,Magnolia Projects,"29.938657, -90.09366"
Guru,rapper,1986,7/17/1961,2010,4/19/2010,Boston,Roxbury,"42.314443, -71.090405"
Juvenile,rapper,1991,3/25/1975,,,New Orleans,Magnolia Projects,"29.940431, -90.092142"
Dizzee Rascal,producer;rapper,2000,9/18/1984,,,East London,Bow,"51.530437, -0.037101"
The Game,rapper,2002,11/29/1979,,,Los Angeles,Compton,"33.891111, -118.227222"
Busta Rhymes,rapper,,5/20/1972,,,New York,Uniondale,"40.695383, -73.591274"
Young Buck,rapper,1993,3/15/1981,,,Nashville,,"36.139026, -86.829136"
Grandmaster Caz,rapper,,,,,New York,Bronx,"40.834026, -73.927452"
Kamelancien,rapper,1993,5/13/1980,,,Kremlin-Bicêtre,Cité des Martinets,"48.806989, 2.348219"
Jazz Cartier,rapper,2011,3/19/1993,,,Toronto,,"43.65811, -79.384661"
Shing02,producer / dj;rapper,1996,,,,San Francisco,,"37.73531, -122.48799"
Biffty,rapper,2015,,,,Aulnay sous bois,,"48.923861, 2.494209"
Prince Waly,rapper,,12/24/1991,,,Montreuil,,"48.869443, 2.457461"
Youssef Swatt's,rapper,,,,,Tournai,,"50.60876, 3.34765"
Juicy J,producer;rapper,,,,,Memphis,Hollywood,"35.1754, -89.9752"
MC Solaar,producer;rapper;singer,,,,,Villeneuve-Saint-Georges,Quartier Nord,"48.7511682, 2.4485109"
Killer Mike,rapper,,,,,Atlanta,,"33.746667, -84.415278"
Aelpéacha,producer;rapper,,,,,Joinville-le-Pont,,"48.8207209, 2.4698424"
Sefyu,rapper,2004,4/20/1981,2015,,Aulnay-sous-Bois,Cité Nouvelle Emmaüs,"48.950124, 2.491753"
Sadek,rapper,2012,5/25/1991,,,Seine-Saint-Denis,Neuilly-Plaisance,"48.862005, 2.508656"
Freddie Gibbs,rapper,2003,6/14/1982,,,Gary,Eastside,"41.598388, -87.329498"
The Weeknd,singer,2010,2/16/1990,,,Toronto,Scarborough,"43.771708, -79.23835"
Rob Stone,rapper,2014,1/25/1995,,,San Diego,,"32.939272, -117.159074"
Newham Generals,group,2004,,,,London,Forest Gate,"51.545613, 0.025349"
Dany Dan,rapper,1993,11/20/1973,,,Boulogne-Billancourt,,"48.833172, 2.231573"
Rap Monster,rapper,2013,9/12/1994,,,Ilsan,,"37.668572, 126.79004"
Nèg' Marrons,group,1995,,,,Garges-Sarcelles,,"48.969739, 2.401814"
7liwa,rapper,2011,,,,Casablanca,,"33.580666, -7.611599"
Graig David,rapper;singer,1999,5/5/1981,,,Southampton,Holyrood Estate,"50.9005, -1.3995"
Soulja Boy,rapper,2007,7/28/1990,,,Batesville,,"34.307097, -89.941856"
Mafia K1 Fry,group,1995,,,,Paris,Val-de-Marne,"48.763903, 2.410339"
Bones,rapper,2010,,,,Howell,,"42.606339, -83.932985"
A Tribe Called Quest,group,,,,,New York,Queens,"40.6916, -73.7624"
Chief Keef,producer;rapper,,,,,Chicago,,"41.7784138, -87.617782"
EarthGang,group,2009,,,,Atlanta,,"33.735726, -84.504626"
Yung Berg,rapper;singer,2001,9/9/1985,,,Chicago,,"41.81331, -87.703015"
Gué Pequeno,producer / dj;rapper,1997,12/25/1980,,,Milano,,"45.471562, 9.15859"
The Jacka,rapper,1998,8/12/1977,2015,2/2/2015,Pittsburg,,"38.015785, -121.897252"
Joeystarr,rapper,,,,,Saint-Denis,Cité Président Salvador Allende,"48.9455024, 2.369358"
MC Ren,rapper,,,,,Los Angeles,Compton,"33.8851198, -118.1992392"
Keith Ape,rapper,2012,,,,Seoul,,"37.574814, 126.940791"
Azizi Gibson,rapper,2011,,,,Los Angeles,,"34.094063, -118.283464"
Lucio Bukowski,rapper,2007,,,,Lyon,,"45.769508, 4.831418"
Negatif clan,group,,,,,Bruxelles,Héliport,"50.8620201, 4.351675"
Take A Mic,rapper,2015,,,,Orly,,"48.743699, 2.398081"
Zico,rapper,2011,9/14/1992,,,Seoul,Mapo,"37.556683, 126.904371"
Dead Prez,group,1996,,,,New York,,"40.76276, -73.988828"
Fiend,rapper,1994,5/13/1976,,,New Orleans,,"29.983738, -90.065164"
Triplego,group,2013,,,,Montreuil,Croix de Chavaux,"48.857928, 2.43644"
Infinit,rapper,,,,,Nice,,"43.7031, 7.272876"
Lord Infamous,rapper,1990,11/17/1973,2013,12/20/2013,Memphis,,"35.092953, -90.039561"
Fat Joe,rapper,1992,8/19/1970,,,Bronx,Forest House Projects,"40.824931, -73.903587"
Sir Mix-a-Lot,rapper,1983,8/12/1963,2003,,Seatle,Capitol Hill,"47.6274, -122.316756"
Dej Loaf,rapper;singer,2011,4/8/1991,,,Detroit,Eastside,"42.376697, -82.980146"
Skepta,rapper,2003,9/19/1982,,,Tottenham,,"51.605561, -0.0748"
Mac Tyer,rapper,1999,4/23/1979,,,Aubervilliers,,"48.914508, 2.374911"
2 Bal 2 Neg,group,1996,,2010,,Chelles,Cité Gambetta,"48.879152, 2.592819"
Jeremih,rapper;singer,2008,7/17/1987,,,Chicago,,"41.691289, -87.66404"
Timbaland,producer,1994,3/10/1972,,,Norfolk,,"36.862086, -76.289912"
TTC,group,1999,,2013,,Paris,,"48.847221, 2.289997"
Freeman,rapper,1988,5/9/1972,,,Marseille,Belsunce,"43.29915, 5.376904"
Twista,rapper,1992,11/27/1973,,,North Lawndale,K Town,"41.862441, -87.729848"
Common,rapper,1992,3/13/1972,,,Chicago,Calumet Heights,"41.728333, -87.579722"
50 Cent,rapper,1998,7/6/1975,,,Queens,South Jamaica,"40.668703, -73.77459"
Don Choa,rapper,1994,8/1/1974,,,Marseille,,"43.314352, 5.380504"
Kery James,rapper,1990,12/28/1977,,,Orly,,"48.745477, 2.402475"
Chuck D,producer;rapper,,,,,Long Island,Roosevelt,"40.682377, -73.582796"
Rejjie Snow,rapper,2012,6/27/1993,,,Dublin,Glasnevin and Drumcondra,"53.373572, -6.266754"
Dyno,rapper,,,,,Yverdon-les-Bains,,"46.774592, 6.632218"
Le Rat Luciano,rapper,1992,4/9/1976,,,Marseille,Le panier,"43.298056, 5.367778"
MC Hammer,rapper;singer,1985,,,,Oakland,East Oakland,"37.7433152, -122.1853557"
Sniper,group,1997,,,,Deuil-la-Barre,,"48.970734, 2.325747"
Kevin Gates,rapper,2007,2/5/1986,,,Baton Rouge,,"30.423687, -91.177447"
KRS-One,rapper,,,,,Bronx,South Bronx,"40.819778, -73.916222"
Del the Funky Homosapien,producer;rapper,,,,,Oakland,,"37.7980038, -122.1618747"
Omnikrom,group,,,,,Montréal,,"45.484446, -73.749948"
Demi Portion,rapper,,,,,Sète,L'île de Thau,"43.4134249, 3.6610923"
Caballero,rapper,2011,,,,Bruxelles,,"50.849468, 4.356444"
Elams,rapper,,,,,Marseille,,"43.322863, 5.384598"
Ace Hood,rapper,2006,5/11/1988,,,Deerfield Beach,,"26.295358, -80.117266"
Redman,rapper,,,,,Newark,Brick City,"40.73564, -74.213194"
LIM,rapper,,,,,Boulogne-Billancourt,Pont de Sèvres,"48.829336, 2.2322435"
Fredo Santana,rapper,,,,,Chicago,,"41.779786, -87.644778"
"Michael ""5000"" Watts",producer / dj,1997,,,,Houston,,"29.86388, -95.478563"
Key!,rapper,2013,,,,Atlanta,,"33.740821, -84.338006"
Trina,rapper,1998,12/3/1978,,,Miami,Liberty City,"25.831001, -80.224095"
Big Boi,rapper;singer,1991,2/1/1975,,,Atlanta,East point,"33.684089, -84.43504"
Alibi Montana,rapper,1999,,,,La Courneuve,La cité des 4000,"48.926, 2.38"
Geto Boys,group,1986,,,,Houston,Fifth Ward,"29.776394, -95.327122"
Madlib,producer;rapper,1993,10/24/1973,,,Oxnard,,"34.190963, -119.18559"
GLC,rapper,2003,12/1/1974,,,Chicago,,"41.853561, -87.625539"
Scylla,rapper,2002,,,,Bruxelles,Schaerbeek,"50.875477, 4.381356"
Triptik,group,1994,,,,Paris,,"48.873174, 2.349048"
Lomepal,rapper,2009,,,,Paris,13ème arrondissement,"48.831507, 2.353092"
Isha,rapper,2005,,,,Bruxelles,,"50.858963, 4.366379"
Z-Ro,rapper,1994,1/19/1977,,,Houston,South Park,"29.683343, -95.336695"
Futur Krew,group,1998,,,,Saint Denis,Les Camélias,"-20.895031, 55.460367"
Bryson Tiller,singer,2011,1/2/1993,,,Louisville,,"38.173161, -85.781185"
Valete,rapper,1997,,,,Lisbon,Benfica,"38.752258, -9.201699"
Bigflo & Oli,group,2009,,,,Toulouse,,"43.615345, 1.431123"
Krisy,producer / dj;rapper,2010,,,,Bruxelles,,"50.847483, 4.339205"
Convok,producer / dj;rapper,2006,,,,Bruxelles,,"50.846023, 4.34134"
Yung Simmie,rapper,2011,12/19/1993,,,Miami,,"25.769576, -80.22228"
Pouya,rapper,2012,,,,Miami,,"25.793981, -80.235234"
Vin'S,rapper,,,,,Grenoble,,"45.170472, 5.732298"
Chance the Rapper,producer;rapper;singer,2011,4/16/1993,,,Chicago,West Chatham,"41.744289, -87.628899"
Lil Uzi vert,rapper,2013,7/31/1994,,,Philadelphia,Francisville Neighborhood,"39.970022, -75.166634"
Drake,rapper;singer,,,,,Toronto,Forest Hill,"43.6966656, -79.4237412"
Max B,rapper,,,,,New York,Harlem,"40.805873, -73.946897"
Oxmo Puccino,rapper;singer,,,,,Paris,Danube,"48.8823502, 2.3873334"
Young Jeezy,rapper,,,,,Atlanta,,"33.75431, -84.372149"
Ghislain Poirier,producer,,,,,Montreal,,"45.504921, -73.618425"
Future,rapper,2008,11/20/1983,,,Atlanta,,"33.76054, -84.32415"
Hyacinthe,rapper,2012,,,,Paris,18ème,"48.891192, 2.329376"
Dae Dae,rapper,2015,7/29/1992,,,Atlanta,"Boulevard, Fourth Ward","33.757892, -84.372125"
Famous Dex,rapper,2015,9/6/1993,,,Chicago,,"41.77, -87.636214"
C. Tangana,rapper,2006,7/16/1990,,,Madrid,,"40.384346, -3.717205"
Columbine,group,2014,,,,Rennes,,"48.110966, -1.669917"
Lasco,rapper,2015,,,,Les Lilas,,"48.875823, 2.414324"
9 Zéro,group,2016,,,,Brussels,,"50.879674, 4.338403"
Disiz La Peste,producer / dj;rapper,1999,3/28/1978,,,Évry,Épinettes-Aunettes,"48.618874, 2.432454"
Keith Murray,rapper,1990,10/13/1974,,,New York,Long Island,"40.785627, -73.199804"
Noizy,rapper;singer,2004,9/27/1986,,,London,Woolwich,"51.490012, 0.068954"
Foxy Brown,rapper,1994,9/6/1978,,,New York,Brooklyn,"40.672404, -73.977063"
Action Bronson,rapper,2008,12/2/1983,,,Queens,Flushing,"40.759185, -73.827754"
Danger Mouse,producer / dj,1998,7/29/1977,,,Athens,,"33.955017, -83.380205"
Zaytoven,producer / dj,1997,1/12/1980,,,Atlanta,,"33.744399, -84.346758"
Davodka,rapper,2003,,,,Paris,18th arrondissemen,"48.893315, 2.339418"
Radmo,rapper,,,,,Besançon,Planoise,"47.221512, 5.967567"
Veence Hanao,producer / dj;rapper;singer,2006,,,,Bruxelles,,"50.836837, 4.411452"
Flavor Flav,rapper,,,,,Long Island,Roosevelt,"40.674075, -73.595076"
Rick Ross,rapper,,,,,Miami,Carol City,"25.897749, -80.207326"
Schoolly D,rapper,1984,,2000,,Philadelphia,,"39.961526, -75.19014"
2Pac,rapper,,,,,New York,Harlem,"40.797956, -73.940047"
Mystikal,rapper,1993,9/22/1970,,,New Orleans,,"29.929525, -90.094404"
Lino,rapper,,,,,Villiers-le-Bel,,"49.0, 2.3833"
Too $hort,producer;rapper,,,,,Oakland,,"37.773514, -122.209036"
Enzo Dong,rapper,2006,,,,Naples,Don Guanella,"40.891374, 14.248604"
Jedi Mind Tricks,group,1993,,,,Philadelphia,Clifton Heights,"39.930133, -75.29333"
Les X-Men,group,1996,,,,Paris,Ménilmontant,"48.866676, 2.383136"
Lady Sovereign,rapper,2003,12/19/1985,,,London,Chalkhill Estates,"51.563933, -0.269657"
The Streets,producer / dj;rapper,1994,,2011,,Birmingham,West Heath,"52.396642, -1.957965"
Grems,producer / dj;rapper,1998,10/25/1978,,,Paris,,"48.855452, 2.346578"
Alpha Wann,rapper,2008,,,,Paris,14th,"48.831405, 2.321774"
Taïpan,rapper,2004,,,,Thill,,"49.472725, 5.908164"
Fresh Caen Camps,group,2006,,,,Caen,,"49.180726, -0.370975"
Gaël Faye,rapper;singer,2008,,,,Yvelines,,"48.843966, 1.983584"
Gkr,rapper,,,,,Reykjavik,,"64.123115, -21.822305"
Earl Sweatshirt,producer;rapper,2008,2/24/1994,,,Los Angeles,Santa Monica,"34.031169, -118.461713"
Koopsta Knicca,rapper,1994,4/27/1975,2015,10/9/2015,Memphis,,"35.14056, -90.035626"
Benny B,rapper;singer,1990,12/11/1968,1992,,Bruxelles,Molenbeek-Saint-Jean,"50.854403, 4.329316"
YG,rapper,2009,3/9/1990,,,Los Angeles,Compton,"33.90967, -118.258146"
Nelly,rapper,1993,11/2/1974,,,St. Louis,,"38.636928, -90.225617"
Yo Gotti,rapper,2000,5/19/1981,,,Memphis,Frayser,"35.2175, -90.003333"
RZA,producer;rapper,,,,,New York,Brooklyn,"40.6267, -74.006393"
Migos,group,2010,,,,Lawrenceville,,"33.949977, -83.989804"
Chiens de paille,group,1992,,2010,,Cannes,,"43.561406, 6.995983"
Trick Daddy,producer;rapper,,,,,Miami,Liberty City Square,"25.836111, -80.22"
Meek Mill,rapper,,5/6/1987,,,Philadelphia,,"39.9775341, -75.1320267"
Morsay,rapper,,,,,Paris,Clignancourt,"48.8902463, 2.3346822"
Chris Travis,rapper,,,,,Memphis,,"35.1205339, -90.0377036"
The Pharcyde,group,1989,,,,Los Angeles,South Central,"33.966125, -118.274323"
Ab-Soul,rapper,2002,2/23/1987,,,Los Angeles,Carson,"33.858318, -118.263819"
Jimmy Spicer,rapper,1980,,1990,,New York,Brooklyn,"40.682408, -74.0002"
Beanie Sigel,rapper,1995,3/6/1974,,,Philadelphia,,"39.927645, -75.17561"
