"","album","source","target","top.x","top.y","both_top","one_top"
"32","Revenge","Ski Mask The Slump God &amp; XXXTENTACION","XXXTENTACION",0,1,0,1
"33","Revenge","Ski Mask The Slump God &amp; XXXTENTACION","XXXTENTACION",0,1,0,1
"34","Heart Break Kodak","Lil Wayne","Tory Lanez",0,0,0,0
"35","Issa Album","21 Savage","CuBeatz",1,0,0,1
"36","Issa Album","21 Savage","DJ Mustard",1,0,0,1
"37","Issa Album","CuBeatz","DJ Mustard",0,0,0,0
"38","223","French Montana","Lil Yachty",0,0,0,0
"39","223","French Montana","LunchMoney Lewis",0,0,0,0
"40","223","Lil Yachty","LunchMoney Lewis",0,0,0,0
"41","Swimming","Alexander Spit","Cardo",0,0,0,0
"42","Swimming","Alexander Spit","Carter Lang",0,0,0,0
"43","Swimming","Cardo","Carter Lang",0,0,0,0
"44","Beach House 3","Ty Dolla $ign","Ty Dolla $ign &amp; Lauren Jauregui",0,0,0,0
"45","Role Model","Kash Doll","Key Glock",0,0,0,0
"46","Role Model","Kash Doll","Moma Gabbana",0,0,0,0
"47","Role Model","Key Glock","Moma Gabbana",0,0,0,0
"48","Lil Pump","2 Chainz","Chief Keef",0,0,0,0
"49","Lil Pump","2 Chainz","Gucci Mane",0,0,0,0
"50","Lil Pump","Chief Keef","Gucci Mane",0,0,0,0
"51","Oxnard","BJ the Chicago Kid","Cocoa Sarai",0,0,0,0
"52","Oxnard","BJ the Chicago Kid","Dr.\xa0Dre",0,0,0,0
"53","Oxnard","Cocoa Sarai","Dr.\xa0Dre",0,0,0,0
"54","Lil Boat 2","2 Chainz","Jban$2Turnt",0,0,0,0
"55","Lil Boat 2","2 Chainz","K$upreme",0,0,0,0
"56","Lil Boat 2","Jban$2Turnt","K$upreme",0,0,0,0
"57","Luca Brasi 3","Beatmonsters","DJ Chose",0,0,0,0
"58","Luca Brasi 3","Beatmonsters","Fresh Ayr",0,0,0,0
"59","Luca Brasi 3","DJ Chose","Fresh Ayr",0,0,0,0
"60","Karma 2","BlocBoy JB","Border Bucc",0,0,0,0
"61","Karma 2","BlocBoy JB","D.JONES",0,0,0,0
"62","Karma 2","Border Bucc","D.JONES",0,0,0,0
"63","Pressure","2 Chainz","J. Cole",0,0,0,0
"64","Pressure","2 Chainz","Kendrick Lamar",0,0,0,0
"65","Pressure","J. Cole","Kendrick Lamar",0,0,0,0
"66","The Beautiful & Damned","G-Eazy","G-Eazy &amp; Halsey",0,0,0,0
"67","The Beautiful & Damned","G-Eazy","G-Eazy",0,0,0,0
"68","The Beautiful & Damned","G-Eazy &amp; Halsey","G-Eazy",0,0,0,0
"69","Dime Trap","Anderson .Paak","Dave Chappelle",0,0,0,0
"70","Dime Trap","Anderson .Paak","Jeezy",0,0,0,0
"71","Dime Trap","Dave Chappelle","Jeezy",0,0,0,0
"72","Invasion Of Privacy","Cardi B","Cardi B &amp; YG",1,0,0,1
"73","Invasion Of Privacy","Cardi B","Cardi B &amp; YG",1,0,0,1
"74","Invasion Of Privacy","Cardi B","Cardi B",1,1,1,1
"75","Invasion Of Privacy","Cardi B","Cardi B",1,1,1,1
"76","Invasion Of Privacy","Cardi B","Cardi B",1,1,1,1
"77","Invasion Of Privacy","Cardi B","Cardi B",1,1,1,1
"78","Invasion Of Privacy","Cardi B &amp; YG","Cardi B",0,1,0,1
"79","Invasion Of Privacy","Cardi B &amp; YG","Cardi B",0,1,0,1
"80","beerbongs & bentleys","21 Savage","G-Eazy",1,0,0,1
"81","beerbongs & bentleys","21 Savage","Nicki Minaj",1,1,1,1
"82","beerbongs & bentleys","G-Eazy","Nicki Minaj",0,1,0,1
"83","Milky Way","Bas","Bas &amp; A$AP Ferg",0,0,0,0
"84","Milky Way","Bas","Bas &amp; J. Cole",0,0,0,0
"85","Milky Way","Bas &amp; A$AP Ferg","Bas &amp; J. Cole",0,0,0,0
"86","Zoo","Mahalia","Rick Ross",0,0,0,0
"87","Zoo","Mahalia","Snoop Dogg",0,0,0,0
"88","Zoo","Rick Ross","Snoop Dogg",0,0,0,0
"89","Victory Lap","Belly","Buddy",0,0,0,0
"90","Victory Lap","Belly","CeeLo Green",0,0,0,0
"91","Victory Lap","Buddy","CeeLo Green",0,0,0,0
"92","Light Of Mine","2 Chainz","Alessia Cara",0,0,0,0
"93","Light Of Mine","2 Chainz","Avery Wilson",0,0,0,0
"94","Light Of Mine","Alessia Cara","Avery Wilson",0,0,0,0
"95","Bobby Tarantino II","Logic","Logic &amp; Marshmello",0,0,0,0
"96","Project Baby Two","Jackboy","John Wicks",0,0,0,0
"97","Project Baby Two","Jackboy","Offset",0,0,0,0
"98","Project Baby Two","John Wicks","Offset",0,0,0,0
"99","Gangland Landlord","Blac Youngsta","A Boogie Wit Da Hoodie",0,0,0,0
"100","Gangland Landlord","Blac Youngsta","Caine",0,0,0,0
"101","Gangland Landlord","A Boogie Wit Da Hoodie","Caine",0,0,0,0
"102","Revival","Alice and the Glass Lake","Alicia Keys",0,0,0,0
"103","Revival","Alice and the Glass Lake","Beyoncé",0,0,0,0
"104","Revival","Alicia Keys","Beyoncé",0,0,0,0
"105","Tha Carter V","Ashanti","Kendrick Lamar",0,0,0,0
"106","Tha Carter V","Ashanti","Mack Maine",0,0,0,0
"107","Tha Carter V","Kendrick Lamar","Mack Maine",0,0,0,0
"108","Beware The Book Of Eli","Danny Towers","Rich the Kid",0,0,0,0
"109","Beware The Book Of Eli","Danny Towers","Ronny J",0,0,0,0
"110","Beware The Book Of Eli","Rich the Kid","Ronny J",0,0,0,0
"111","4 Your Eyez Only","Blvk","BLVK Cole",0,0,0,0
"112","4 Your Eyez Only","Blvk","Elite",0,0,0,0
"113","4 Your Eyez Only","Blvk","Boi-1da",0,0,0,0
"114","4 Your Eyez Only","BLVK Cole","Elite",0,0,0,0
"115","4 Your Eyez Only","BLVK Cole","Boi-1da",0,0,0,0
"116","4 Your Eyez Only","Elite","Boi-1da",0,0,0,0
"117","Luv Is Rage 2","Oh Wonder","Pharrell Williams",0,0,0,0
"118","Luv Is Rage 2","Oh Wonder","The Weeknd",0,0,0,0
"119","Luv Is Rage 2","Pharrell Williams","The Weeknd",0,0,0,0
"120","Culture II","Migos","Migos",1,1,1,1
"121","Bet On Me","Gunna","Lil Baby",0,0,0,0
"122","Bet On Me","Gunna","Young Thug",0,0,0,0
"123","Bet On Me","Lil Baby","Young Thug",0,0,0,0
"124","Everybody","Alessia Cara","Ansel Elgort",0,0,0,0
"125","Everybody","Alessia Cara","Big Lenbo",0,0,0,0
"126","Everybody","Ansel Elgort","Big Lenbo",0,0,0,0
"127","4 Respect (EP)","Kevin Gates","Quando Rondo",0,0,0,0
"128","RESET","Future","J. Cole",0,0,0,0
"129","RESET","Future","Jeremih",0,0,0,0
"130","RESET","J. Cole","Jeremih",0,0,0,0
"131","P2","Bino Rideaux","Lloyd Banks",0,0,0,0
"132","P2","Bino Rideaux","Marsha Ambrosius",0,0,0,0
"133","P2","Lloyd Banks","Marsha Ambrosius",0,0,0,0
"134","2014 Forest Hills Drive","J. Cole","!llmind",0,0,0,0
"135","2014 Forest Hills Drive","J. Cole","Phonix Beats",0,0,0,0
"136","2014 Forest Hills Drive","!llmind","Phonix Beats",0,0,0,0
"137","The Last Rocket","Dayytona Fox","Quavo",0,0,0,0
"138","Signed To The Streets 3","A Boogie Wit Da Hoodie","Future",0,0,0,0
"139","Signed To The Streets 3","A Boogie Wit Da Hoodie","Gunna",0,0,0,0
"140","Signed To The Streets 3","Future","Gunna",0,0,0,0
"141","LoVE me NOw?","Tory Lanez","Tory Lanez &amp; Rich The Kid",0,0,0,0
"142","PRhyme 2","2 Chainz","Big K.R.I.T.",0,0,0,0
"143","PRhyme 2","2 Chainz","Brady Watt",0,0,0,0
"144","PRhyme 2","Big K.R.I.T.","Brady Watt",0,0,0,0
"145","ASTROWORLD","21 Savage","Big Hawk",1,0,0,1
"146","ASTROWORLD","21 Savage","Don Toliver",1,0,0,1
"147","ASTROWORLD","Big Hawk","Don Toliver",0,0,0,0
"148","Fully Loaded","3 Glizzy","Gunna",0,0,0,0
"149","Fully Loaded","3 Glizzy","Lil Durk",0,0,0,0
"150","Fully Loaded","Gunna","Lil Durk",0,0,0,0
"151","Still My Moment","Bryan Hamilton","Chance the Rapper",0,0,0,0
"152","Still My Moment","Bryan Hamilton","Lil Pump",0,1,0,1
"153","Still My Moment","Chance the Rapper","Lil Pump",0,1,0,1
"154","Scorpion","Drake","Drake &amp; Michael Jackson",1,0,0,1
"155","Scorpion","Drake","Drake &amp; Michael Jackson",1,0,0,1
"156","Scorpion","Drake","Drake &amp; Michael Jackson",1,0,0,1
"157","Scorpion","Drake","Drake &amp; Michael Jackson",1,0,0,1
"158","Scorpion","Drake","Drake &amp; Michael Jackson",1,0,0,1
"159","Life's A Trip","Diplo","Trippie Redd",0,0,0,0
"160","ye","070 Shake","Ant Clemons",0,0,0,0
"161","ye","070 Shake","Charlie Wilson",0,0,0,0
"162","ye","Ant Clemons","Charlie Wilson",0,0,0,0
"163","Dex Meets Dexter","A$AP Rocky","Diplo",0,0,0,0
"164","Dex Meets Dexter","A$AP Rocky","Drax Project",0,0,0,0
"165","Dex Meets Dexter","Diplo","Drax Project",0,0,0,0
"166","Take Care","André 3000","Birdman",0,0,0,0
"167","Take Care","André 3000","Kendrick Lamar",0,0,0,0
"168","Take Care","Birdman","Kendrick Lamar",0,0,0,0
"169","Nasir","070 Shake","Kanye West",0,0,0,0
"170","Nasir","070 Shake","Puff Daddy",0,0,0,0
"171","Nasir","Kanye West","Puff Daddy",0,0,0,0
"172","A Love Letter To You 3","Baby Goth","Elliott Trent",0,0,0,0
"173","A Love Letter To You 3","Baby Goth","Emani 22",0,0,0,0
"174","A Love Letter To You 3","Elliott Trent","Emani 22",0,0,0,0
"175","YSIV","Big Lenbo","Cappadonna",0,0,0,0
"176","YSIV","Big Lenbo","Ghostface Killah",0,0,0,0
"177","YSIV","Cappadonna","Ghostface Killah",0,0,0,0
"178","Memories Don't Die","50 Cent","Davo",0,0,0,0
"179","Memories Don't Die","50 Cent","Fabolous",0,0,0,0
"180","Memories Don't Die","Davo","Fabolous",0,0,0,0
"181","Just Cause Y'all Waited","Gunna","Lil Baby",0,0,0,0
"182","Just Cause Y'all Waited","Gunna","PARTYNEXTDOOR",0,0,0,0
"183","Just Cause Y'all Waited","Lil Baby","PARTYNEXTDOOR",0,0,0,0
"184","Culture","2 Chainz","DJ Khaled",0,0,0,0
"185","Culture","2 Chainz","Gucci Mane",0,0,0,0
"186","Culture","DJ Khaled","Gucci Mane",0,0,0,0
"187","Die Lit","Playboi Carti","Playboi Carti &amp; Nicki Minaj",0,0,0,0
"188","Redemption","Future","J. Cole",0,0,0,0
"189","Redemption","Future","Jeremih",0,0,0,0
"190","Redemption","J. Cole","Jeremih",0,0,0,0
"191","GEMINI","ABIR","Dan Caplen",0,0,0,0
"192","GEMINI","ABIR","Dave B",0,0,0,0
"193","GEMINI","Dan Caplen","Dave B",0,0,0,0
"194","Reckless","Gunna","Lil Uzi Vert",0,0,0,0
"195","Reckless","Gunna","Quavo",0,0,0,0
"196","Reckless","Lil Uzi Vert","Quavo",0,0,0,0
"197","California (EP)","Desiigner","DRAM",0,0,0,0
"198","California (EP)","Desiigner","GoldLink",0,0,0,0
"199","California (EP)","DRAM","GoldLink",0,0,0,0
"200","Rolling Papers 2","Bone Thugs-N-Harmony","Chevy Woods",0,0,0,0
"201","Rolling Papers 2","Bone Thugs-N-Harmony","Curren$y",0,0,0,0
"202","Rolling Papers 2","Chevy Woods","Curren$y",0,0,0,0
"203","4Respect 4Freedom 4Loyalty 4WhatImportant","Kevin Gates","Quando Rondo",0,0,0,0
"204","4Respect 4Freedom 4Loyalty 4WhatImportant","Kevin Gates","Young Thug",0,0,0,0
"205","4Respect 4Freedom 4Loyalty 4WhatImportant","Quando Rondo","Young Thug",0,0,0,0
"206","Quavo Huncho","21 Savage","Cardi B",1,1,1,1
"207","Quavo Huncho","21 Savage","Cardi B",1,1,1,1
"208","Quavo Huncho","21 Savage","Davido",1,0,0,1
"209","Quavo Huncho","Cardi B","Davido",1,0,0,1
"210","Quavo Huncho","Cardi B","Davido",1,0,0,1
"211","Best Day Ever","Phonte","Wiz Khalifa",0,0,0,0
"212","Views","\u200bdvsn","Future",0,0,0,0
"213","Views","\u200bdvsn","Kyla",0,0,0,0
"214","Views","Future","Kyla",0,0,0,0
"215","BooPac","Anthony Hamilton","B Will",0,0,0,0
"216","BooPac","Anthony Hamilton","Lee Banks",0,0,0,0
"217","BooPac","B Will","Lee Banks",0,0,0,0
"218","Ray Ray From Summerhill","Dreezy","Meek Mill",0,0,0,0
"219","Ray Ray From Summerhill","Dreezy","Offset",0,0,0,0
"220","Ray Ray From Summerhill","Meek Mill","Offset",0,0,0,0
"221","The World Is Yours","Chris Brown","Future",0,0,0,0
"222","The World Is Yours","Chris Brown","Jay Critch",0,0,0,0
"223","The World Is Yours","Future","Jay Critch",0,0,0,0
"224","Activated","Chris Brown","Jeezy",0,0,0,0
"225","Activated","Chris Brown","Lil Durk",0,0,0,0
"226","Activated","Jeezy","Lil Durk",0,0,0,0
"227","Mr. Davis","Gucci Mane","Gucci Mane &amp; Nicki Minaj",0,0,0,0
"228","Curtain Call: The Hits","D12","Eminem",0,0,0,0
"229","Curtain Call: The Hits","D12","JAY-Z",0,0,0,0
"230","Curtain Call: The Hits","Eminem","JAY-Z",0,0,0,0
"231","Kolorblind","A Boogie Wit Da Hoodie","DeJ Loaf",0,0,0,0
"232","Kolorblind","A Boogie Wit Da Hoodie","Future",0,0,0,0
"233","Kolorblind","DeJ Loaf","Future",0,0,0,0
"234","Until Death Call My Name","Birdman","Future",0,0,0,0
"235","Not All Heroes Wear Capes","21 Savage","Drake",1,1,1,1
"236","Not All Heroes Wear Capes","21 Savage","Drake",1,1,1,1
"237","Not All Heroes Wear Capes","21 Savage","Drake",1,1,1,1
"238","Not All Heroes Wear Capes","21 Savage","Drake",1,1,1,1
"239","Not All Heroes Wear Capes","21 Savage","Drake",1,1,1,1
"240","Not All Heroes Wear Capes","21 Savage","Gucci Mane",1,0,0,1
"241","Not All Heroes Wear Capes","Drake","Gucci Mane",1,0,0,1
"242","Not All Heroes Wear Capes","Drake","Gucci Mane",1,0,0,1
"243","Not All Heroes Wear Capes","Drake","Gucci Mane",1,0,0,1
"244","Not All Heroes Wear Capes","Drake","Gucci Mane",1,0,0,1
"245","Not All Heroes Wear Capes","Drake","Gucci Mane",1,0,0,1
"246","Stay Dangerous","2 Chainz","A$AP Rocky",0,0,0,0
"247","Stay Dangerous","2 Chainz","Big Sean",0,0,0,0
"248","Stay Dangerous","A$AP Rocky","Big Sean",0,0,0,0
"249","Drip Season 3","Hoodrich Pablo Juan","Lil Baby",0,0,0,0
"250","Drip Season 3","Hoodrich Pablo Juan","Lil Durk",0,0,0,0
"251","Drip Season 3","Lil Baby","Lil Durk",0,0,0,0
"252","The Bigger Artist","21 Savage","Chris Brown",1,0,0,1
"253","The Bigger Artist","21 Savage","Don Q",1,0,0,1
"254","The Bigger Artist","Chris Brown","Don Q",0,0,0,0
"255","2 Heartless","BlocBoy JB","Lil Baby",0,0,0,0
"256","2 Heartless","BlocBoy JB","Quavo",0,0,0,0
"257","2 Heartless","Lil Baby","Quavo",0,0,0,0
"258","DAYTONA","070 Shake","Kanye West",0,0,0,0
"259","DAYTONA","070 Shake","Rick Ross",0,0,0,0
"260","DAYTONA","Kanye West","Rick Ross",0,0,0,0
"261","Queen","Nicki Minaj","Nicki Minaj &amp; Labrinth",1,0,0,1
